Name, Price, Change, Percentage Change, Transactions Number, Volume, Opening, Max, Min, Time
GOBARTO,4.7000,-0.0400,-0.84%,7,3474,4.5200,4.7600,4.5200,01.02 17:00
GREENX,0.6620,-0.0030,-0.45%,87,133159,0.6620,0.6780,0.6470,02.02 16:32
GROCLIN,2.2200,0.0200,0.91%,49,56082,2.2100,2.2500,2.1700,02.02 15:40
GTC,6.9500,0.0600,0.87%,4,12961,6.9000,6.9500,6.9000,02.02 13:36
GTCA,6.9500,0.0000,0.00%,1,166800,6.9500,6.9500,6.9500,18.01 10:16
HARPER,7.3000,0.0800,1.11%,34,21578,7.2200,7.3000,6.9400,02.02 16:39
HERKULES,1.7000,0.0700,4.29%,17,12288,1.6300,1.7000,1.5700,02.02 14:06
IDEABANK,1.5880,0.0180,1.15%,160,240390,1.5980,1.6400,1.5700,30.12 17:00
IDMSA,1.1500,0.0000,0.00%,1,192,1.1500,1.1500,1.1500,02.02 14:37
IFCAPITAL,4.1400,-4.5400,-52.30%,383,793162,6.9800,6.9800,4.1400,10.11 15:49
IFSA,0.4300,-0.0180,-4.02%,131,123804,0.4240,0.4660,0.4040,21.01 17:00
IMMOBILE,2.3200,0.0400,1.75%,5,77,2.3200,2.3200,2.3200,02.02 15:59
IMPERIO,2.3100,-0.0900,-3.75%,3,35,2.3100,2.3100,2.3100,02.02 11:26
IMS,3.0000,0.0100,0.33%,3,516,2.9900,3.0000,2.9900,02.02 14:25
INC,4.1550,0.0700,1.71%,65,48954,4.0900,4.1750,4.0750,02.02 16:39
INPRO,7.4500,0.0000,0.00%,1,75,7.4500,7.4500,7.4500,02.02 09:04
INTERBUD,1.2800,0.0300,2.40%,4,768,1.2800,1.2800,1.2800,02.02 15:00
INTERFERI,8.6000,0.0000,0.00%,7,72808,8.6000,8.6000,8.6000,02.02 12:42
INTERSPPL,1.1900,0.0200,1.71%,5,1550,1.1750,1.1900,1.1750,02.02 15:05
INTROL,5.5000,-0.0400,-0.72%,41,53295,5.5400,5.5400,5.3000,02.02 16:20
INVISTA,6.2500,0.0000,0.00%,11,5746,6.2000,6.2500,5.7500,02.02 16:41
IPOPEMA,3.2300,0.1000,3.19%,5,4353,3.1300,3.2300,3.1300,02.02 15:36
ITMTRADE,0.1700,-0.0150,-8.11%,10,4061,0.1740,0.1740,0.1700,02.02 15:00
IZOLACJA,2.7600,0.0200,0.73%,6,232,2.7600,2.7600,2.7600,02.02 09:07
IZOSTAL,2.7200,-0.0100,-0.37%,60,84966,2.7500,2.8000,2.7200,02.02 16:35
JWCONSTR,4.1600,-0.0200,-0.48%,24,32433,4.1700,4.1700,3.9600,20.05 16:16
JWWINVEST,2.0600,0.0200,0.98%,1,229,2.0600,2.0600,2.0600,02.02 09:00
KBDOM,0.2700,0.0000,0.00%,2,810,0.2700,0.2700,0.2700,30.11 15:00
KCI,1.1200,0.0350,3.23%,90,169923,1.0600,1.1650,1.0600,02.02 16:39
KOMPUTRON,3.3100,0.1600,5.08%,38,55837,3.2900,3.4600,3.2900,02.02 16:12
KRAKCHEM,0.6000,0.0000,0.00%,2,1670,0.5600,0.6000,0.5600,28.01 15:00
KSGAGRO,3.1900,0.0100,0.31%,20,35506,3.1800,3.2000,3.1200,02.02 16:30
LARQ,1.5400,0.0400,2.67%,16,36139,1.5500,1.5500,1.4000,02.02 16:38
LENA,4.4100,0.0100,0.23%,5,5833,4.4000,4.4100,4.3500,02.02 12:07
LENTEX,9.5000,0.1400,1.50%,34,70648,9.3600,9.7000,9.2400,02.02 16:40
LIBET,1.8000,-0.0100,-0.55%,5,729,1.7350,1.8050,1.7350,02.02 15:08
LUBAWA,1.1420,-0.0200,-1.72%,67,83366,1.1640,1.1640,1.1400,02.02 16:17
MAKARONPL,6.8600,-0.1000,-1.44%,4,1532,6.9600,6.9600,6.8600,02.02 16:38
MANYDEV,1.6900,-0.0100,-0.59%,8,3572,1.7400,1.7500,1.6900,02.02 16:42
MARVIPOL,8.0000,-0.0800,-0.99%,18,25402,8.0800,8.1000,7.9400,02.02 16:22
MASTERPHA,4.9500,0.0500,1.02%,8,10197,4.9500,4.9500,4.9500,02.02 15:00
MBWS,6.7200,0.0200,0.30%,2,134,6.7000,6.7200,6.7000,02.02 16:28
MDIENERGIA,2.4100,0.0700,2.99%,5,33,2.3400,2.4100,2.3400,02.02 13:34
MEDIACAP,3.4900,0.0000,0.00%,1,21,3.4900,3.4900,3.4900,29.12 09:19
MEXPOLSKA,2.2000,-0.0400,-1.79%,10,16573,2.2400,2.2400,2.1900,02.02 13:05
MILKILAND,1.4200,-0.0500,-3.40%,75,99904,1.4250,1.4500,1.3950,02.02 16:35
MILLENNIUM,8.6200,0.0200,0.23%,389,3540176,8.6000,8.7900,8.5600,02.02 16:39
MIRACULUM,1.4600,-0.0200,-1.35%,3,5075,1.4900,1.4900,1.4600,02.02 12:49
MIRBUD,4.2650,0.1600,3.90%,379,1196097,4.1850,4.3450,4.1600,02.02 16:32
MOJ,1.7800,0.0300,1.71%,7,13619,1.7400,1.7800,1.6500,02.02 16:28
MONNARI,2.9500,0.1000,3.51%,147,1102602,2.8500,3.1200,2.8200,02.02 16:39
MOSTALWAR,6.4000,-0.0400,-0.62%,10,10470,6.4400,6.5000,6.3000,02.02 12:18
MOSTALZAB,1.7000,0.0000,0.00%,50,73259,1.7150,1.7200,1.6800,02.02 16:37
MUZA,5.7500,0.0500,0.88%,8,6091,5.7500,5.8000,5.7000,02.02 15:44
MWTRADE,4.9700,0.0000,0.00%,3,8747,4.9800,4.9800,4.9700,02.02 12:29
